fingers,paired_joint_index,ranges,associated_joint_index
thumb,"[2, 1, 0]","[-45, 20]","[3, 4]"
thumb,"[3, 2, 1]","[-80, 12]",[4]
thumb,"[4, 3, 2]","[-90, 30]",[]
index,"[6, 5, 0]","[-40, 90]","[7, 8]"
index,"[7, 6, 5]","[0, 130]",[8]
index,"[8, 7, 6]","[-30, 90]",[]
middle,"[10, 9, 0]","[-40, 90]","[11, 12]"
middle,"[11, 10, 9]","[0, 130]",[12]
middle,"[12, 11, 10]","[-30, 90]",[]
ring,"[14, 13, 0]","[-40, 90]","[15, 16]"
ring,"[15, 14, 13]","[0, 130]",[16]
ring,"[16, 15, 14]","[-30, 90]",[]
little,"[18, 17, 0]","[-40, 90]","[19, 20]"
little,"[19, 18, 17]","[0, 130]",[20]
little,"[20, 19, 18]","[-30, 90]",[]
